dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,vae_augmented_step_6_best_acc,vae_augmented_step_6_best_f1,classifier_augmented_step_6_best_acc,classifier_augmented_step_6_best_f1,vae_augmented_step_7_best_acc,vae_augmented_step_7_best_f1,classifier_augmented_step_7_best_acc,classifier_augmented_step_7_best_f1,vae_augmented_step_8_best_acc,vae_augmented_step_8_best_f1,classifier_augmented_step_8_best_acc,classifier_augmented_step_8_best_f1,execution_time,alpha
ECG200,2,100,100,0.9300000071525574,0.9235724424063763,0.86,0.8619419924337958,0.89,0.8903203537913924,0.9300000071525574,0.9214454045561665,0.92,0.92,0.9300000071525574,0.9214454045561665,0.93,0.9302038615036133,0.9300000071525574,0.9225578050669322,0.91,0.9097150343924008,0.9099999666213989,0.9004314636574842,0.9,0.8993406593406593,0.9199999570846558,0.9131944444444444,0.91,0.9090740126120146,0.9199999570846558,0.9095431931252826,0.89,0.8888682376369067,0.9099999666213989,0.899001234429357,0.92,0.92,0.9300000071525574,0.9235724424063763,0.9,0.8985739750445632,276.70149874687195,1.0
ECG200,2,100,100,0.9300000071525574,0.9235724424063763,0.85,0.8504368460791716,0.89,0.8896517087018233,0.9300000071525574,0.9225578050669322,0.9,0.9,0.9199999570846558,0.9120879120879121,0.89,0.8896517087018233,0.9300000071525574,0.9225578050669322,0.9,0.8993406593406593,0.9099999666213989,0.9004314636574842,0.89,0.8896517087018233,0.9199999570846558,0.9141999141999142,0.9,0.8993406593406593,0.9099999666213989,0.9017359973796266,0.92,0.9188591800356507,0.9199999570846558,0.9120879120879121,0.93,0.9305599999999999,0.9300000071525574,0.9235724424063763,0.91,0.9097150343924008,275.26189494132996,1.5
ECG200,2,100,100,0.9199999570846558,0.910873440285205,0.89,0.8896517087018233,0.89,0.8896517087018233,0.9300000071525574,0.9235724424063763,0.91,0.9090740126120146,0.9099999666213989,0.9004314636574842,0.91,0.9090740126120146,0.8999999761581421,0.8901098901098901,0.92,0.9194725274725275,0.9099999666213989,0.90292309351742,0.9,0.8976933514246948,0.9099999666213989,0.9017359973796266,0.92,0.9194725274725275,0.9099999666213989,0.9004314636574842,0.92,0.9188591800356507,0.8999999761581421,0.8914930555555556,0.93,0.9297783600829785,0.9099999666213989,0.9017359973796266,0.88,0.8782887700534759,300.8176851272583,2.0
ECG200,2,100,100,0.9199999570846558,0.910873440285205,0.89,0.8896517087018233,0.87,0.870378599935282,0.9199999570846558,0.910873440285205,0.89,0.8896517087018233,0.9199999570846558,0.9120879120879121,0.92,0.92,0.9399999976158142,0.9340659340659341,0.88,0.8792087912087913,0.9099999666213989,0.9004314636574842,0.9,0.8993406593406593,0.9300000071525574,0.9225578050669322,0.9,0.8985739750445632,0.9300000071525574,0.9235724424063763,0.9,0.8985739750445632,0.9300000071525574,0.9235724424063763,0.89,0.886928774928775,0.9199999570846558,0.910873440285205,0.9,0.9013871374527114,279.9364583492279,2.5
ECG200,2,100,100,0.9199999570846558,0.910873440285205,0.9,0.8993406593406593,0.89,0.8896517087018233,0.9399999976158142,0.9348958333333333,0.89,0.8896517087018233,0.9399999976158142,0.9340659340659341,0.89,0.8896517087018233,0.9300000071525574,0.9225578050669322,0.87,0.870378599935282,0.9300000071525574,0.9225578050669322,0.89,0.8896517087018233,0.9099999666213989,0.9004314636574842,0.9,0.9,0.9300000071525574,0.9225578050669322,0.9,0.8993406593406593,0.9199999570846558,0.910873440285205,0.89,0.8888682376369067,0.9399999976158142,0.9340659340659341,0.89,0.8903203537913924,258.9795331954956,3.0
ECG200,2,100,100,0.9199999570846558,0.910873440285205,0.9,0.8993406593406593,0.9,0.8993406593406593,0.9399999976158142,0.9348958333333333,0.9,0.8985739750445632,0.9300000071525574,0.9244957394024377,0.88,0.88,0.9300000071525574,0.9235724424063763,0.88,0.8782887700534759,0.9199999570846558,0.9141999141999142,0.9,0.8985739750445632,0.9399999976158142,0.9348958333333333,0.89,0.8903203537913924,0.9399999976158142,0.9348958333333333,0.87,0.8663703703703703,0.9300000071525574,0.9235724424063763,0.89,0.8888682376369067,0.9300000071525574,0.9225578050669322,0.87,0.870378599935282,285.34248876571655,3.5
ECG200,2,100,100,0.9099999666213989,0.90292309351742,0.86,0.8553676470588235,0.89,0.8896517087018233,0.9300000071525574,0.9225578050669322,0.89,0.8888682376369067,0.9199999570846558,0.9120879120879121,0.88,0.8772320217096337,0.9300000071525574,0.9253333333333333,0.87,0.8675928627538997,0.9300000071525574,0.9214454045561665,0.89,0.887963191560992,0.9199999570846558,0.9120879120879121,0.92,0.9194725274725275,0.949999988079071,0.9460683852874554,0.88,0.88,0.9199999570846558,0.9120879120879121,0.88,0.8806692406692406,0.9300000071525574,0.9244957394024377,0.87,0.8686624626617988,291.49355721473694,4.0
ECG200,2,100,100,0.9099999666213989,0.90292309351742,0.86,0.8580035650623885,0.91,0.9097150343924008,0.9199999570846558,0.9095431931252826,0.9,0.9,0.9099999666213989,0.899001234429357,0.92,0.9194725274725275,0.9199999570846558,0.9120879120879121,0.9,0.8993406593406593,0.9300000071525574,0.9235724424063763,0.9,0.9010186757215619,0.9199999570846558,0.9131944444444444,0.91,0.91072,0.9199999570846558,0.9120879120879121,0.9,0.9,0.9199999570846558,0.9120879120879121,0.92,0.92,0.9199999570846558,0.9120879120879121,0.91,0.9097150343924008,275.36253356933594,4.5
EOGVerticalSignal,12,362,362,0.8996291578768384,0.8446259341927181,0.8141957897994017,0.8607923953211726,0.6729677175380326,0.755668288516617,0.7478236771577624,0.723174425435959,0.6719269143918056,0.763092352585985,0.7453493946348027,0.7213161840748015,0.6876406074374282,0.7508155082674373,0.744153747315286,0.7453612954464696,0.6703631189493852,0.7574462296583522,0.7572499359918584,0.7174618132368434,0.6907327182561532,0.7932185683973929,0.764987851306821,0.7092427244362681,0.6735693487768115,0.7577505889166889,0.7998256886175724,0.765127733960936,0.6893903622998854,0.805800992228723,0.7619614809515862,0.7883473439230708,0.7215754959487793,0.7472304489557695,0.7810255812026575,0.7142086197564039,0.6881706697621659,0.7703575042971424,2.1544032970505675,1.0
EOGVerticalSignal,12,362,362,0.8549858161409787,0.8759549366816881,0.8100694930473595,0.8428519292262523,0.798055226088694,0.7463315812093365,0.8979466309065864,0.8097850785705566,0.8076043294395546,0.7460261816965725,0.9056355232039719,0.8090667479635388,0.7986699059141493,0.7484137113970922,0.9106151940831287,0.8298023913078495,0.8118542513594071,0.7548206859925746,0.8853851683824656,0.8123346904946518,0.8086263365200219,0.766680092643662,0.9117603361779568,0.7979888644086599,0.7895673472707013,0.7381802964760831,0.9075913396484907,0.8549688932644582,0.8467542756419946,0.8036519646564315,0.8770889950031454,0.8048003282907709,0.8576725235122024,0.7853213862927578,0.8940631423963831,0.7885178160598867,0.8679026706159456,0.7954922359927141,1.2587946283255889,1.5
